it,error,time,np,n
84,0.8688604E-08,0.3670000E+00,4,512
84,0.8086459E-08,0.1049000E+01,4,1024
83,0.8953700E-08,0.3792000E+01,4,2048
82,0.9407561E-08,0.2310300E+02,4,5096
84,0.8618394E-08,0.4240000E+00,9,513
84,0.8068798E-08,0.9840000E+00,9,1026
83,0.8934907E-08,0.2903000E+01,9,2049
100,0.3323804E-06,0.1586900E+02,9,5097
84,0.8702379E-08,0.3540000E+00,16,512
84,0.8072887E-08,0.6460000E+00,16,1024
83,0.8961088E-08,0.2130000E+01,16,2048
82,0.9416144E-08,0.1029000E+02,16,5096
95,0.9590923E-08,0.7360000E+00,25,515
84,0.8098283E-08,0.9400000E+00,25,1025
83,0.8945937E-08,0.2443000E+01,25,2050
82,0.9434792E-08,0.9927000E+01,25,5100
100,0.6877967E+00,0.1450000E+01,36,516
84,0.8101232E-08,0.1300000E+01,36,1026
83,0.8971967E-08,0.2532000E+01,36,2052
82,0.9401502E-08,0.8915000E+01,36,5100
100,0.6640692E+01,0.1478000E+01,49,518
100,0.7981908E-02,0.1862000E+01,49,1029
100,0.1722033E+01,0.4102000E+01,49,2051
82,0.9432538E-08,0.1000100E+02,49,5096
84,0.8660993E-08,0.1339000E+01,64,512
84,0.8080292E-08,0.1431000E+01,64,1024
83,0.9075289E-08,0.2327000E+01,64,2048
82,0.9481334E-08,0.8668000E+01,64,5096
84,0.8671756E-08,0.1310000E+01,64,512
84,  0.8668289E-08,  0.6520000E+00,4,512
84,  0.8704960E-08,  0.5850000E+00,4,512
84,  0.8678302E-08,  0.3380000E+00,8,512
84,  0.8786750E-08,  0.2920000E+00,8,512
84,  0.8759885E-08,  0.2900000E+00,8,512
84,  0.8650822E-08,  0.2890000E+00,8,512
84,  0.9005251E-08,  0.3560000E+00,4,512
84,  0.8688885E-08,  0.3560000E+00,4,512
84,  0.8706238E-08,  0.3530000E+00,4,512
84,  0.8674387E-08,  0.3490000E+00,4,512
84,  0.8666233E-08,  0.3560000E+00,4,512
84,  0.8806553E-08,  0.3460000E+00,4,512
84,  0.8684787E-08,  0.3610000E+00,4,512
84,  0.8658296E-08,  0.3460000E+00,4,512
84,  0.8649813E-08,  0.3620000E+00,4,512
84,  0.8763068E-08,  0.3510000E+00,4,512
84,  0.8642460E-08,  0.3460000E+00,4,512
84,  0.8732779E-08,  0.3550000E+00,4,512
84,  0.8676182E-08,  0.3720000E+00,4,512
84,  0.8685640E-08,  0.3500000E+00,4,512
84,  0.8657805E-08,  0.3450000E+00,4,512
84,  0.8828631E-08,  0.3560000E+00,4,512
85,  0.8019236E-08,  0.3530000E+00,4,512
84,  0.8655711E-08,  0.3580000E+00,4,512
84,  0.8643765E-08,  0.3540000E+00,4,512
84,  0.8647431E-08,  0.3430000E+00,4,512
84,  0.8687091E-08,  0.3440000E+00,4,512
84,  0.8630772E-08,  0.3490000E+00,4,512
84,  0.8665503E-08,  0.3480000E+00,4,512
84,  0.8653453E-08,  0.3480000E+00,4,512
84,  0.8657935E-08,  0.3430000E+00,4,512
84,  0.8691028E-08,  0.3460000E+00,4,512
84,  0.8626478E-08,  0.3420000E+00,4,512
84,  0.8639518E-08,  0.3420000E+00,4,512
84,  0.8661981E-08,  0.3410000E+00,4,512
